record - leader,001,008,035,040,245,260,310,336,337,338,653,264,996,998,650,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505
00560nas  2200193u  4500,9918826960101480,971106q19851987be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001882696LBS01-Aleph^$ $ $a7222064^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918826960101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSalesiaans missienieuws.,^$ $ $aBrussel$ $ $bDMOS$ $ $c[1985]-[1987],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aDMOS.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00735nas  2200217u  4500,9918829630101480,971106d19849999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001882963LBS01-Aleph^$ $ $a7223288^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918829630101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe syndicale jongerenkrant$ $ $bdriemaandelijks tijdschrift ACV - VKAJ - Kajottersbeweging /$ $ $cUitg. ACV in samenwerking met VKAJ en Kajottersbeweging.,^$ $ $aS.l.$ $ $bACV$ $ $c1984-?,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aACV$ $ $4oth^$2$ $aVKAJ.$ $ $4oth^$2$ $aKajottersbeweging$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00582nas  2200193u  4500,9918835320101480,971110q19821984be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001883532LBS01-Aleph^$ $ $a7226032^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918835320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTer Munk.,^$ $ $aBrussel$ $ $bVormingscentrum Ter Munk$ $ $c1982-[1984],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aVormingscentrum Ter Munk$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00623nas  2200193u  4500,9918842830101480,971113q19829999be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001884283LBS01-Aleph^$ $ $a7229796^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918842830101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTip : tweemaandelijkse periodiek van St.-Paulusjeugdkampen.,^$ $ $aBrussel$ $ $bSt.-Paulusjeugdkampen$ $ $c[1982]-?,^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aSt.-Paulusjeugdkampen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00626nas  2200193u  4500,9918843440101480,971113q19841988be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001884344LBS01-Aleph^$ $ $a7230017^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918843440101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTelex.,^$ $ $aHasselt$ $ $bSociaal en fiscaal middenstandssecretariaat$ $ $c1984-[1988],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aSociaal en fiscaal middenstandssecretariaat$ $ $cHasselt$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00561nas  2200193u  4500,9918849600101480,971114q19831988be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001884960LBS01-Aleph^$ $ $a7232732^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918849600101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTelex ouders voor PPT.,^$ $ $aBrussel$ $ $bCOB-VLO$ $ $c[1983]-[1988],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aCOB-VLO$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
01038nas  2200277u  4500,9918851490101480,971117d19822001be br|p||     0|||a|eng c,^$ $ $a(BeLVLBS)001885149LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918851490101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aUNDA News$ $ $bbi-monthly newsletter,,^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1982]-2001^$ $1$aBruxelles$ $ $bUNDA$ $ $3[1982]-2001,^$ $ $aKADOC$ $ $bphysical$ $ $c201412,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aUNDA$ $ $gInternational Catholic Association for Radio and Television$ $ $4edt,,"^$ $ $aOndertitel varieert^$ $ $aFrom 1999 until 2001, several issues are published as a joint newsletter with the organization OCIC under the name ""OCIC-UNDA-INFO""",,^$ $ $a0258-9494$ $ $2print,^$1$0$aThe wide world of Unda$ $ $bmonthly newsletter$ $ $g[1982]-1988,^$ $ $aMonthly$ $ $b[1982]-1994,,,,,,,,,,,,,,,,,,,,
00595nas  2200193u  4500,9918854650101480,971117q19851986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001885465LBS01-Aleph^$ $ $a7234767^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918854650101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aVariant.,^$ $ $aHasselt$ $ $bLicht en liefde. Gewest Limburg$ $ $c1985-[1986],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aLicht en liefde. Gewest Limburg$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00754nas  2200205u  4500,9918878990101480,971124q19811989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001887899LBS01-Aleph^$ $ $a7245046^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918878990101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aZorgend leven bij onze bejaarden$ $ $bContact met het personeel van de bejaardentehuizen.,^$ $ $aHasselt$ $ $bBisdom Hasselt. Secretariaat bejaardenpastoraal$ $ $c1981-[1989],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00574nas  2200193u  4500,9918881240101480,971124q19839999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001888124LBS01-Aleph^$ $ $a7246056^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918881240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aVanonderuit.,^$ $ $aS.l.$ $ $bACV-CCMB Boelwerf Temse$ $ $c1983-?,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aACV-CCMB Boelwerf$ $ $cTemse$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00554nas  2200169u  4500,9918904850101480,971124q19839999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001890485LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918904850101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aTongeren ziekenzorg.,^$ $ $aTongeren$ $ $bVerbond van kristelijke mutualiteiten van Limburg. Afdeling Tongeren$ $ $c1981-[1985],^$ $ $aSemiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00674nas  2200205u  4500,9918909420101480,971202q19841989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001890942LBS01-Aleph^$ $ $a7258446^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918909420101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aZomaar.,^$ $ $aRoeselare$ $ $bJeugd en gezondheid CM. Verbond Roeselare$ $ $c1984-[1989],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00598nas  2200205u  4500,9918926110101480,971208q19851988be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001892611LBS01-Aleph^$ $ $a7266590^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSMB info.,^$ $ $aBrussel$ $ $bSint-Michielsbond$ $ $c[1985]-[1988],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aSint-Michielsbond$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00641nas  2200193u  4500,9918926700101480,971208q19831990be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001892670LBS01-Aleph^$ $ $a7266796^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926700101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe kleine zeg : informatieblad voor de CVP-leden van het arr. Ieper.,^$ $ $aIeper$ $ $bCVP. Arrondissement Ieper$ $ $c1983-[1990],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aCVP. Arrondissement Ieper$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00652nas  2200193u  4500,9918926940101480,971208q19811982be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001892694LBS01-Aleph^$ $ $a7266895^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926940101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aService : maandelijks tijdschrift van de Christen democratische omroep.,^$ $ $aBrussel$ $ $bChristen democratische omroep$ $ $c1981-[1982],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aChristen democratische omroep$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00586nas  2200193u  4500,9918941740101480,971212q19821983be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001894174LBS01-Aleph^$ $ $a7273414^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918941740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVP overzee. Informatieblad.,^$ $ $aKinshasa$ $ $bCVP$ $ $c[1982]-[1983],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00566nas  2200193u  4500,9918959900101480,971219q19859999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001895990LBS01-Aleph^$ $ $a7281902^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918959900101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVP persbrief.,^$ $ $aBrussel$ $ $bCVP$ $ $c[1985]-?,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00572nas  2200193u  4500,9918959920101480,971219q19851986be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001895992LBS01-Aleph^$ $ $a7281909^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918959920101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aOnder ons gezegd.,^$ $ $aBrussel$ $ $bCVP$ $ $c1985-[1986],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00517nas  2200169u  4500,9918992450101480,971219q19851986be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899245LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918992450101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aCVP-jongeren. Info.,^$ $ $aBrussel$ $ $bCVP-Jongeren. Nationaal secretariaat$ $ $c[1983]-9999,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00598nas  2200193u  4500,9918992670101480,980112q19841985be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899267LBS01-Aleph^$ $ $a7297448^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918992670101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInformatiekrant.,^$ $ $aMechelen$ $ $bCVP. Arrondissement Mechelen$ $ $c[1984]-[1985],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aCVP. Arrondissement Mechelen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00610nas  2200193u  4500,9918993180101480,980112q19841985be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899318LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918993180101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$aDe jonge werkers.,^$ $ $aAntwerpen$ $ $bKAJ. Verbond Antwerpen $ $ $c1981-[1991],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,,,,,,,,,,,,,,,,,,,,,,,,,,,
00673nas  2200205u  4500,9918993460101480,980112q19841985be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899346LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918993460101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aKAJEE.,^$ $ $aTurnhout$ $ $bKAJ. Verbond Turnhout$ $ $c1981-1991,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,,,^$ $ $aFrequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,
00497nas  2200169u  4500,9918994110101480,980112q19841985be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899411LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918994110101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aMilitantenblad.,^$ $ $aLeuven$ $ $bKAJ. Verbond Leuven$ $ $c[1985]-[1989],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
